id;nome;cpf;matricula;cargo;lotacao;salario_base;descontos;salario_liquido;margem_consignavel;banco_pagamento;agencia;conta;data_pagamento
30;Caroline Fernandes;069.481.257-94;796503;Engenheiro;Secretaria de Saúde;5000;1270.03;3729.97;1118.99;Caixa Econômica;6409;753425;2025-05-02
31;Ana Vitória Jesus;846.237.105-80;797229;Médico;Secretaria de Obras;5000;1433.56;3566.44;1069.93;Itaú;7211;810219;2025-03-09
32;Maria Fernanda Jesus;680.291.354-24;587575;Motorista;Secretaria de Saúde;2500;705.57;1794.43;538.33;Bradesco;8238;563638;2025-03-24
33;Lorena da Cunha;145.092.768-85;125611;Motorista;Secretaria de Obras;4000;1195.15;2804.85;841.45;Itaú;1757;356736;2025-07-04
34;Stella Cardoso;763.589.410-20;254739;Médico;Secretaria de Educação;5000;401.26;4598.74;1379.62;Bradesco;1090;887443;2025-02-11
35;Clarice da Luz;870.419.365-20;800005;Médico;Secretaria de Administração;1500;295.62;1204.38;361.31;Caixa Econômica;9702;686075;2025-05-04
36;Mariana Santos;687.153.490-39;980660;Motorista;Secretaria de Educação;1500;101.62;1398.38;419.51;Caixa Econômica;5543;903013;2025-07-22
37;Marina Duarte;471.528.693-91;666390;Enfermeiro;Secretaria de Educação;1800;497.44;1302.56;390.77;Caixa Econômica;2320;245095;2025-02-28
38;João Pedro da Costa;316.924.780-87;316881;Médico;Secretaria de Administração;3000;651.73;2348.27;704.48;Caixa Econômica;7883;508396;2025-08-15
39;Srta. Sophie Nascimento;705.239.148-14;386193;Técnico Administrativo;Gabinete;5000;553.75;4446.25;1333.88;Caixa Econômica;8140;609232;2025-01-12
40;Heloísa Nunes;279.460.385-00;188025;Técnico Administrativo;Secretaria de Obras;1800;133.62;1666.38;499.91;Itaú;8022;242291;2025-06-29
41;Benjamin Ferreira;653.728.914-91;364525;Motorista;Secretaria de Educação;4000;667.02;3332.98;999.89;Banco do Brasil;2341;593152;2025-01-08
42;Dra. Ana Beatriz Monteiro;310.678.452-08;350132;Enfermeiro;Secretaria de Educação;1500;225.98;1274.02;382.21;Caixa Econômica;3068;596564;2025-02-14
43;Clara Rezende;452.960.138-24;706794;Técnico Administrativo;Secretaria de Saúde;2500;243.88;2256.12;676.84;Itaú;1420;427110;2025-08-12
44;Isis Novaes;319.052.647-80;464069;Médico;Secretaria de Educação;2000;239.27;1760.73;528.22;Itaú;9728;549186;2025-05-24
45;Luiz Fernando Mendes;067.932.548-47;556641;Engenheiro;Secretaria de Educação;1800;112.76;1687.24;506.17;Banco do Brasil;3885;869440;2025-07-22
46;Emanuelly Teixeira;796.854.210-30;971084;Técnico Administrativo;Gabinete;2500;228.94;2271.06;681.32;Caixa Econômica;2419;392477;2025-06-25
47;Vitor Gabriel Rezende;965.032.178-03;472060;Médico;Gabinete;4000;1102.44;2897.56;869.27;Banco do Brasil;5232;456871;2025-04-19
48;Pietra Freitas;803.917.426-04;824156;Técnico Administrativo;Secretaria de Obras;4000;465.2;3534.8;1060.44;Itaú;8800;777278;2025-07-10
49;Vitória Aragão;143.759.268-64;596249;Enfermeiro;Secretaria de Saúde;5000;443.5;4556.5;1366.95;Banco do Brasil;9698;460455;2025-06-15
50;Dra. Helena Moraes;748.210.539-50;878967;Professor;Secretaria de Educação;1500;355.49;1144.51;343.35;Itaú;9779;899213;2025-03-13
